subregion (EuroVoc),Central and Eastern,Northern,Southern,Western
1900,2098.3,3026.25,2588.333333,5892.222222
1901,2135.8,3093.75,2633.333333,5863.333333
1902,2205.15,3171.25,2638.333333,5928.888889
1903,2190.65,3182.5,2671.666667,5920
1904,2272,3298.75,2701.666667,6007.777778
1905,2228.5,3220,2715,6148.888889
1906,2229.7,3271.25,2763.333333,6292.222222
1907,2235.5,3338.75,2816.666667,6370
1908,2307.85,3413.75,2846.666667,6316.666667
1909,2354.95,3487.5,2876.666667,6433.333333
1910,2419.95,3617.5,2878.333333,6513.333333
1911,2394.1,3637.5,2931.666667,6664.444444
1912,2460.65,3757.5,2968.333333,6800
1913,2510.5,3925,3025,6844.444444
1914,2465.6,3913.75,3103.333333,6268.888889
1915,2467.9,3873.75,3123.333333,6045.555556
1916,2395.85,3807.5,3261.666667,6165.555556
1917,2305.8,3460,3326.666667,5847.777778
1918,2121.75,3137.5,3421.666667,5724.444444
1919,2062.2,3393.75,3301.666667,5802.222222
1920,2047.1,3637.5,3275,6314.444444
1921,2071.35,3635,3336.666667,6442.222222
1922,2107.75,4015,3453.333333,6912.222222
1923,2210.5,4210,3486.666667,6977.777778
1924,2378.25,4292.5,3498.333333,7384.444444
1925,2586.95,4381.25,3615,7648.888889
1926,2702.25,4546.25,3616.666667,7803.333333
1927,2758.9,4758.75,3761.666667,8068.888889
1928,2925.85,4958.75,3765,8375.555556
1929,2989.6,5178.75,3915,8583.333333
1930,2964.5,5358.75,3791.666667,8500
1931,2896,5196.25,3755,8156.666667
1932,2734.55,5110,3861.666667,7841.111111
1933,2769,5326.25,3900,7952.222222
1934,2820.5,5630,3956.666667,8040
1935,2904.5,5783.75,4031.666667,8215.555556
1936,3141,6017.5,3836.666667,8476.666667
1937,3293.5,6232.5,4011.666667,8780
1938,3415.5,6408.75,3980,8965.555556
1939,3531,6528.75,4071.666667,9294.444444
1940,3422.5,6055,3903.333333,8970
1941,3382,6011.25,3793.333333,9033.333333
1942,3343.5,6072.5,3715,8954.444444
1943,3278,6275,3625,8880
1944,3163.5,6397.5,3460,8536.666667
1945,3089,6413.75,3146.666667,8321.111111
1946,3115.5,6827.5,3531.666667,8883.333333
1947,3242,7375,3831.666667,9501.111111
1948,3616.5,7728.75,3893.333333,10060
1949,3917.5,8025,3943.333333,10430
1950,4040,8385,4045,10950
1951,4137.5,8440,4268.333333,11242.22222
1952,4125,8600,4396.666667,11426.66667
1953,4335.5,8906.25,4611.666667,11858.88889
1954,4481.5,9302.5,4791.666667,12294.44444
1955,4756.5,9651.25,4998.333333,12961.11111
1956,4863.5,9986.25,5236.666667,13475.55556
1957,5188,10210,5440,13933.33333
1958,5443.5,10433.75,5613.333333,13870
1959,5650,10671.25,5770,14304.44444
1960,6001.5,11162.5,6010,15100
1961,6241,11682.5,6418.333333,15657.77778
1962,6333.5,12050,6740,16028.88889
1963,6494.5,12242.5,7160,16423.33333
1964,6988.5,13182.5,7525,17357.77778
1965,7210.5,13776.25,7936.666667,17761.11111
1966,7562.5,14171.25,8378.333333,18124.44444
1967,7786.5,14525,8825,18492.22222
1968,8004,14823.75,9420,19266.66667
1969,8342.5,15385,9978.333333,20400
1970,8683.5,16090,10626.66667,21233.33333
1971,9191.5,16643.75,11226.66667,21844.44444
1972,9387,17140,12035,22711.11111
1973,9808,18037.5,12860,23800
1974,10368,18606.25,13111.66667,24344.44444
1975,10458.5,18847.5,12963.33333,23744.44444
1976,10718,19510,13900,24455.55556
1977,11102.5,19896.25,14606.66667,25144.44444
1978,11409.5,20375,15275,25755.55556
1979,11661.5,21075,16033.33333,26488.88889
1980,11848.5,21575,16533.33333,26977.77778
1981,11888.5,21775,16716.66667,26966.66667
1982,11999,22162.5,17016.66667,27077.77778
1983,12114,22562.5,17233.33333,27544.44444
1984,12355,23400,17733.33333,28366.66667
1985,12376.5,24025,18316.66667,29088.88889
1986,12651.5,24900,18800,29988.88889
1987,12592,25525,19516.66667,30666.66667
1988,12633.5,25862.5,20750,32022.22222
1989,12508,26325,21800,33455.55556
1990,11737,26175,22550,34355.55556
1991,10450,25500,22950,35044.44444
1992,9114,24315,23383.33333,35277.77778
1993,8423.5,23958.75,23166.66667,35411.11111
1994,8318,24652.5,23683.33333,36266.66667
1995,8568,25391.25,24616.66667,36966.66667
1996,9025,26283.75,25050,37588.88889
1997,9340.5,27627.5,25766.66667,38922.22222
1998,9616,28700,26666.66667,40311.11111
1999,9754.5,29412.5,27500,42022.22222
2000,10255,30675,28666.66667,43922.22222
2001,10673,31412.5,29266.66667,44588.88889
2002,11173.5,32000,29700,45155.55556
2003,11754,32825,30083.33333,45366.66667
2004,12512.5,34375,30666.66667,46433.33333
2005,13297,35800,31116.66667,47288.88889
2006,14319.5,37450,31883.33333,48655.55556
2007,15430.5,39200,32633.33333,50322.22222
2008,16203,38837.5,32683.33333,49811.11111
2009,15481.5,35900,31233.33333,47500
2010,15885.5,36237.5,31133.33333,48466.66667
2011,16329.5,37212.5,30516.66667,49066.66667
2012,16393.5,37587.5,29550,48655.55556
2013,16663,38025,29033.33333,48911.11111
2014,16991,38575,29516.66667,49944.44444
2015,17336.5,39225,30300,51666.66667
2016,17702.5,39987.5,31016.66667,52288.88889
2017,18218.5,40725,31633.33333,52955.55556
2018,18751,41500,32233.33333,53544.44444
