Year,Income,Education,Life Expectancy
1970,8683.5,7.129,67.97
1971,9191.5,7.2705,68.26
1972,9387,7.411,68.52
1973,9808,7.55325,68.81
1974,10368,7.6965,69.06
1975,10458.5,7.8385,69.195
1976,10718,7.983,69.38
1977,11102.5,8.12675,69.495
1978,11409.5,8.272,69.605
1979,11661.5,8.41625,69.66
1980,11848.5,8.56025,69.745
1981,11888.5,8.704,69.91
1982,11999,8.845,70.045
1983,12114,8.99625,70.12
1984,12355,9.13175,70.15
1985,12376.5,9.28175,70.27
1986,12651.5,9.41925,70.695
1987,12592,9.56,70.795
1988,12633.5,9.7,70.095
1989,12508,9.843,70.895
1990,11737,9.9755,70.875
1991,10450,10.107,70.635
1992,9114,10.252,70.35
1993,8423.5,10.38775,70.18
1994,8318,10.514,70.165
1995,8568,10.6545,70.135
1996,9025,10.7845,70.695
1997,9340.5,10.911,70.92
1998,9616,11.053,71.255
1999,9754.5,11.197,71.37
2000,10255,11.31975,71.665
2001,10673,11.4585,71.895
2002,11173.5,11.60425,72.08
2003,11754,11.732,72.225
2004,12512.5,11.8725,72.405
2005,13297,12.0105,72.54
2006,14319.5,12.138,72.875
2007,15430.5,12.285,73.155
2008,16203,12.4175,73.37
2009,15481.5,12.5575,73.725
2010,15885.5,12.6925,74.015
2011,16329.5,12.8325,74.455
2012,16393.5,12.9675,74.725
2013,16663,13.095,75.065
2014,16991,13.225,75.28
2015,17336.5,13.37,75.42
