Year,Income,Education,Life Expectancy
1970,16090,8.18125,72.1375
1971,16643.75,8.33375,72.375
1972,17140,8.483125,72.375
1973,18037.5,8.635,72.575
1974,18606.25,8.788125,72.6125
1975,18847.5,8.94125,72.625
1976,19510,9.094375,72.7625
1977,19896.25,9.24875,72.9
1978,20375,9.4025,72.9625
1979,21075,9.554375,72.9875
1980,21575,9.7125,73.15
1981,21775,9.8575,73.2125
1982,22162.5,10.021875,73.4625
1983,22562.5,10.163125,73.5375
1984,23400,10.32375,73.6
1985,24025,10.458125,73.675
1986,24900,10.6275,74.225
1987,25525,10.763125,74.275
1988,25862.5,10.90875,74.35
1989,26325,11.0625,74.225
1990,26175,11.2125,74.1875
1991,25500,11.34375,74.1
1992,24315,11.49375,74.1125
1993,23958.75,11.64375,73.75
1994,24652.5,11.775,73.5375
1995,25391.25,11.90625,73.8625
1996,26283.75,12.05625,74.7
1997,27627.5,12.175,75.05
1998,28700,12.3,75.125
1999,29412.5,12.43125,75.475
2000,30675,12.55625,75.7625
2001,31412.5,12.70625,75.775
2002,32000,12.81875,76.1
2003,32825,12.95625,76.35
2004,34375,13.075,76.6
2005,35800,13.2125,76.725
2006,37450,13.34375,76.8125
2007,39200,13.475,76.9875
2008,38837.5,13.5875,77.475
2009,35900,13.71875,77.9625
2010,36237.5,13.85,78.2875
2011,37212.5,13.9625,78.5625
2012,37587.5,14.1,78.7875
2013,38025,14.2125,79.05
2014,38575,14.325,79.325
2015,39225,14.45,79.4375
