Year,Income,Education,Life Expectancy
1970,21233.33333,7.706666667,71.53333333
1971,21844.44444,7.851666667,71.67777778
1972,22711.11111,7.998888889,71.86666667
1973,23800,8.147222222,72.11111111
1974,24344.44444,8.296666667,72.32222222
1975,23744.44444,8.444444444,72.52222222
1976,24455.55556,8.596111111,72.81111111
1977,25144.44444,8.744444444,73.13333333
1978,25755.55556,8.895555556,73.28888889
1979,26488.88889,9.047222222,73.52222222
1980,26977.77778,9.2,73.72222222
1981,26966.66667,9.35,73.96666667
1982,27077.77778,9.498888889,74.15555556
1983,27544.44444,9.653333333,74.36666667
1984,28366.66667,9.806666667,74.64444444
1985,29088.88889,9.963333333,74.87777778
1986,29988.88889,10.10388889,75.14444444
1987,30666.66667,10.25222222,75.41111111
1988,32022.22222,10.4,75.62222222
1989,33455.55556,10.55722222,75.8
1990,34355.55556,10.68777778,76.01111111
1991,35044.44444,10.85,76.21111111
1992,35277.77778,10.98888889,76.44444444
1993,35411.11111,11.12777778,76.6
1994,36266.66667,11.27777778,76.84444444
1995,36966.66667,11.41666667,77.04444444
1996,37588.88889,11.57222222,77.26666667
1997,38922.22222,11.7,77.52222222
1998,40311.11111,11.83888889,77.71111111
1999,42022.22222,11.98333333,77.94444444
2000,43922.22222,12.12222222,78.2
2001,44588.88889,12.26111111,78.45555556
2002,45155.55556,12.39444444,78.71111111
2003,45366.66667,12.52777778,78.93333333
2004,46433.33333,12.67777778,79.31111111
2005,47288.88889,12.81111111,79.62222222
2006,48655.55556,12.95555556,79.92222222
2007,50322.22222,13.07777778,80.16666667
2008,49811.11111,13.22222222,80.36666667
2009,47500,13.35555556,80.54444444
2010,48466.66667,13.47222222,80.76666667
2011,49066.66667,13.62222222,80.97777778
2012,48655.55556,13.73888889,81.14444444
2013,48911.11111,13.87777778,81.3
2014,49944.44444,14,81.5
2015,51666.66667,14.11666667,81.54444444
